company,attendee_name,attendee_title
Health Velocity Capital,Saurabh Bhansali,Managing Partner
SonarMD,Beth Houck,CEO
Artera,Zach Wood,"SVP, Product and Corporate Development"
IMO-Intelligent Medical Objects,Lauren Stockl,"Manager, Tradeshows and Events"
RightMove by HSS,Marcus Osborne,CEO
Providence Ventures,Jeff Stolte,Managing Partner
Innsena,Dora Williams,Director of Media
PwC,Anupriya Ramraj,Partner
Estenda,Sam Chen,Director of Business Development
DirectTrust,Kathryn Wickenhauser,COO
CAHIIM,Angela Kennedy,CEO
The Krinsky Company,Margaret Escobosa,Director
GreyMatter Capital,Danish Munir,Founding Partner
"SalesSparx, LLC",Andrea Marcone Herrera,VP Marketing
Redesign Health,Scott Bechtler-Levin,Head of Venture Design
Huntzinger Management Group,Nancy Ripari,Executive Vice President and Partner
X by 2,Alex Ruhlman,Associate Director
The John A. Hartford Foundation,Rani Snyder Snyder,VP of Program
Opala,Meghan Quint,"Vice President, Solutions & Customer Success"
Healthie,Cavan Klinsky,CTO
Artera,Mel Stackhouse,"Manager, Business Partners"
Sellers Dorsey,Matthew Hicks,"Senior Vice President, Medicaid Strategy"
Tendo,Maria Gonzalez,Marketing Specialist
HCA Healthcare,Rayyan Ashraf,Strategy & Innovation - Ecosystem
Milliman,Katy Reed,Senior Director of Healthcare Strategy
"CenTrak, Inc.",Peter Rodrigues,VP of Sales
Northern Light Health,Lori Dunivan,"VP, Chief Nursing Informatics Officer"
Manifest MedEx,Erica Galvez,Chief Strategy Officer
Marsh & McLennan Companies,Mark Pereira,Business Insurance Client Executive
fdbVela,Jeff Wagner,"Director, Business Development"
Schellman,Michael Parisi,Head of Client Relations
iMethods,Michael Jurado,"Director, Business Development"
The Krinsky Company,Robert Krinsky,CEO
"The SSI Group, Inc.",Leslie Kirk,CEO
Summation Health Ventures,Brant Heise,Managing Director
"Veradigm, formerly Allscripts",Heather Childs,"Area Vice President, Business Development"
"Medicomp Systems, Inc.",Jay Anders,CMO
"Arcadia Solutions, LLC",Carissa Crawford,"Regional Vice President, Growth"
Smarty,Sean Blair,Sales Manager
Stanford University,Eugene Roh,Faculty
Smarty,Casley Shaw,Business Development Representative
URAC,DeAnna Hardin,Digital Accreditation Lead
DSheet LLC,Michael Kirwan,CTO
University of Rochester Medical Center,Christine Boerman,Registered Nurse
Family Connects International,Jennifer Jensen,Acting CEO
"Arcadia Solutions, LLC",Michael Meucci,CEO
Advantech,Tim Mitchell,District Sales Manager
University of Rochester Medical Center,Kristina Haralambides,"FNP- C, Director of Provider Informatics"
Cedars-Sinai,Ani Shirvanian,Neurosurgery Nurse
Intermedia,Amy Hirsh,Head of Events
Takeda,Ricardo dos Santos,Head of Venture Studio
Christus Health,Jon Manis,SVP & CIO
Biobeat,Beki Bargraser,Sales Development Representative
TruBridge,Christina Hendricks,General Manager
Best Buy Health,Alex Timm,Assoc. Dir. Health Product Management
HCA West Florida Division,Diane Sheree McFarland,"Division, Chief Information Officer"
"Workday, Inc.",John Kravitz,Corporate CIO
Health Advances,Greg Chittim,Partner
Cognizant,Tamal GhoshDastidar,Associate Vice President
Tempus AI,Daniel Pivirotto,Director of Business Development
Addition,Robbie Horwitz,Investor
Oracle Health,Christy Hayes,Solution Advisor
Vizient,Tyler Peterson,"Associate Vice President, Emerging Markets"
Defacto Health LLC,Ron Urwongse,Co-Founder
Icario,Jake Petralia,"VP, Product Strategy"
Addition,Brandon Sack,Investor
InterSystems,Laury Liu,Market Intelligence Manager
TruBridge,Kenneth Adams,Corporate Strategy
Realize Medical,Justin Sutherland,CEO
Ciba Health,Leila Quinn,CMO
Availity,Jeremy Sacks,"Senior Manager, Product"
CDW Healthcare,Mark Barbieri,Dir Area Sales
AdventHealth,Julie Rish,VP Consumer Experience
Huntzinger Management Group,Cuyler Kitts,Sales/Project Coordinator
Advantech,Alison Lo,Healthcare Product Manager
Inservio Health,David Wright,Founder & CEO
UiPath,Qadir Ali,Sales Engineer
MESH Health Solutions,Paul Piantone,Executive Director
Virtru,Tony Rosales,Solutions Engineer
CareRev,Brandon Atkinson,CEO
Stealth Mode,Lauren Adams,CEO
Cecelia Health,Allan Cepeda,"VP, Payer Solutions"
Ready Set Recover,Heather Campbell,CEO & Cofounder
KLAS Research,Mike Smith,Vice President Of Research
UiPath,Rohit Bachal,Senior Sales Engineer I
EBSCO Health,Christian Patrick,"Vice President, Medical Sales"
UiPath,Peter Reischer,Sales Engineer II
Techmate,Alex Koval,CTO (Co-Founder)
Best Buy Health,Jen Syversen,"Director, Business Development and Partnerships"
Medasource,Ephrem Chedid,Director
Luminai,Alex Huber,Sales
UiPath,Paul Torrey,Senior Industry Practice Director
FTV Capital,Harrison Goodkind,Associate
Your Health,Ben Finley,Chief Information Officer
Strata Decision Technology,Kylie Bores,"Director, Lead Generation"
Rimidi,Tory Noto,"Vice President, Sales and Marketing"
Best Buy Health,Ifti Alli,"Sr. Manager, Health Pharma Sales"
CirrusMD,Drew Moldane,Chief Operating Officer
KLAS Research,Monique Rasband,Research Director
DrFirst,Drew Hunsinger,"Vice President, Corporate Business Development"
Medasource,Brian Christen,Director
Virsys12,Conner Brandon,Strategic Account Executive
Health Catalyst,Patty Burke,"VP, Marketing"
MultiplAI Health Ltd.,Meg Samek-Smith,President
Secure Exchange Solutions,Rebecca Little,"SVP, Sales"
Best Buy Health,Suzanne Currie,Health Finance Director
Authenticx,Erika Ross,Event Marketing Specialist
ID.me,Ben Piccarreta,Customer Success Manager
TruBridge,Helena Anderson,"Director of Product Management, Platform Applications"
Nice,Marcus Garcia,RVP Healthcare
Health Catalyst,Cale Potter-Chambers,Solutions Consultant
Kaiser,Mohini Chand,Nurse manager
FENEX Healthcare Consulting,DJ Tucker,Client Services Advisor
StartUp Health,Lauren Schafer,Admissions & Ventures Director
Best Buy Health,Josh Will,Consumer Sales Officer
FeelBetter,Yoram Hordan,Co-founder & Coo/cto
URAC,Kurt Acker,Director
Juno Health,Eric Zimtbaum,Sales Executive
Clarify Health,Wes Prince,Payer Solutions
Vim,Alex Edwards,Director of Strategic Growth
Paubox,Jordan Holmes,VP of Sales
Encora,Srikant Chokhany,Vice President Sales
Healthcare Triangle,Lena Kannappan,Co-founder & Head of Strategy
GetWellNetwork,Rachel Allen,"Director, Corporate Marketing & Comms"
KLAS Research,Justin Long,"Managing Director, Investor Services"
Paubox,David Torres,Sales
"ROI Healthcare Solutions, LLC",Sara Wallace,"Director, Business Development Sales Employee"
Kno2,Therasa Bell,President & CTO
Best Buy Health,Ryan Thorman,National Sales Leader - Healthcare
Rimidi,Madison Schaefer,Sales Manager
First Dollar,Rudy Portillo,Enterprise Sales Executive
Yosemite,Matt Bettonville,Investment Manager
DrFirst,Wes Blakeslee,"Vice President, Population Health"
Best Buy Health,Joe Donnelly,"Assoc. Director, Health Strategic Accounts"
The Garage,Kevin Kupitz,"Senior Vice President, Market Development & Growth"
"HCTec Partners, LLC",Bill Grana,Chief Executive Officer
Best Buy Health,Marie Thomas,"Sr Mgr, Sales"
Ordr,John Atkinson,Head of Healthcare Partners
Verizon Business,David Wayne De Board,Sr Mgr-Sols Architect
Vida Health,Luke Knutson,VP Sales - Payer & Health System
"Vivalink, Inc.",Vikki Swanson,"VP, Commercial Ops"
Kno2,Peter Schoch,Chief Health Officer
"XIFIN, Inc.",Kyle Fetter,Chief Operating Officer
HITRUST Services Corp,Ryan Patrick,VP of Adoption
Steel Patriot Partners,Justin Singh,Security Engineer II
Evernorth Health Services,Patrick Garvey,"Director, Business Development and Strategic Growth"
Dexcom,Brooke Stamatis,Sr Strategic Account Executive
Apzumi,Martyna Kardanska,Key Account Manager
Iron Bow Healthcare Solutions,Deborah Martin,Account Manager
DrFirst,Mark Ostendorf,"SVP, Enterprise Sales"
Sellers Dorsey,Alex Abbott,Product Operations Manager
Mayo Clinic,Justin Smith,Clinical Nurse Specialist
Vida Health,Jordan Taggart,"SVP Payer, Provider & PBM Sales"
DataBiologics,Luke Malanga,Chief Operating Officer
Medasource,Dylan Shepard,Director
Your Health,James Poswal,Vice President of Data and Analytics
Authenticx,Jeff Paschen,Business Development
DrFirst,Andrew Burns,Chief Growth Officer
Office Ally,John Hargrave,Vice President of Revenue Recovery
Your Health,Will Stillinger,Chief Operating Officer
Iron Bow Healthcare Solutions,Prashant Prashant,"Sr. Solutions Architect, Digital Health"
Availity,Matt Cunningham,"EVP, Product"
Your Health,Taylor Helms,Vice President of Data and Analytics
Clinical Architecture,John Wilkinson,"EVP, Partnerships"
Clinical Architecture,Stephanie Broderick,"VP, Strategic Initiatives"
Duality Systems,Laurel Chiaramonte,CNO
Best Buy Health,Ben Zaniello,Health Head of Medical Office
Teknicor,Steve DiPaolo,Presales Engineer
Rimidi,Janyl Jentlie,"VP, Operations"
Best Buy Health,Collin Hickey,Customer Success Manager
Luminai,Kendall Bird,Head of Marketing
Ping Identity,Shasta Turney,Director of Healthcare Solutions Marketing
First Dollar,Drew Geissinger,CRO
Ordr,Jim Hyman,Ceo
Oracle,Jessica March,Master Principal Solutions Engineer
Stryker,Nathan McHugh,"Director, Market Intelligence"
Verizon Business,Edward (Ted) Roberts,Mgr-Prog & Proj Mgmt
Clinical Architecture,Victor Lee,"VP, Clinical Informatics"
Encora,Michael Watson,Senior Vp Sales
TRIMEDX,Stacey Lee,Marketing Campaign And Operations Manager
EBSCO Health,Parker Livermore,"Senior Vice President, Medical Sales"
Abridge,Brian Wilson,Chief Commercial Officer
Vida Health,Dominic LeRose,SDR
The Garage,Adisen Krisle,"Coordinator, Market Development & Growth"
Clinical Architecture,Charlie Harp,CEO
"Konica Minolta Business Solutions, U.S.A., Inc.",Danielle Morrison,National Practice Manager – Healthcare IT Services
KLAS Research,Natalie Jamison,Creative Director
KLAS Research,Jason Hess,SRU Manager
FENEX Healthcare Consulting,Joshua Tyson,Vp-client Services
Honeywell,Will Mobley,Product Marketing Manager
Best Buy Health,Sheila Krocak,Head of Sales and Customer Success : Payor and Senior Living Markets
Apzumi,Joanna Kasprzak,COO
RedPoint Global,Stephen Hamilton,Senior Business Development Representative
Clearwater,Robyn Ewers,"Director, Channel Partnerships"
Best Buy Health,Allison Vita,Health Marketing Manager
Best Buy Health,Doug Debenedetto,Solutions Consultant
LabCorp,Sharad Mishra,Consultant Corp. Dev.
Best Buy Health,John Lindesmith,Sr. Account Executive
Tandym Group,Doug Baker,Manager Director
Availity,Mark Fleming,"Senior Director, Product"
Best Buy Health,Michael Sanders,"Director, Health Sales"
Denver College of Nursing,Tanya Mikhael,Associate Professor
Best Buy Health,Seth Gabarro,Health Sales Director
Best Buy Health,Louise Shah,"Sr. Director, Health Professional Services"
Best Buy Health,Stephanie Hammer,"Assoc. Director, Health Marketing"
Best Buy Health,John Hayes,Health Sales Director
Connection,Kelly Kempf,National Healthcare Business Development Manager
Best Buy Health,Matt Stark,Health Sales Senior Director
OxiWear,Ruhan Hou,Sales and marketing
Oracle,Claire Breckenridge,Sponsor
Best Buy Health,Patrick Muse,"Sr. Director, Marketing"
Kno2,Jon Elwell,CEO
HITRUST,Dennis Gallagher,Strategic Account Executive
Smarty,Trevor Toolson,Account Executive
Two Bear Capital,Ida Khodami,Partner
e4health,Mackenzie Hayden,Senior Director of Business Developement
GE Healthcare Ventures,BREE BUSH,GM and VP - Pharma Solutions and Command Center
Best Buy Health,Amy Schiotz,Sales Director Health Accounts
SNOMED International,Nick Egarhos,Global Vendor Engagement Lead
Virtru,Sam Windfield,Strategic Sales Director
AppliedVR,Alex Cornett,Sales Operations
DocMe360,Paras C. Shah,Co-Founder & CEO
Kingman Regional Medical Center,John McDaniel,Chief Innovation & Digital Transformation Officet
Amgen,Carrie Swihart,Sr. Manager Health IT Strategy
Ping Identity,Stephen Payne,stephen.payne@pingidentity.com
AdventHealth,Brianna Miller,Vice President Consumer Access
Nearsure,Guido Verni,Head of Growth for Business Solutions
Clearsense,Gene Scheurer,CEO
Virtru,Pat Dion,Senior Account Executive
Cincinnati Children's Hospital Medical Center,Abby Hess,"Nurse practitioner, clinical researcher"
Definitive Healthcare,Dave Munyer,Strategic Account Executive
Nutanix,TJ Bouda,"Sr. Manager, Sales"
Oracle,Caitlin Rice,RVP - Oracle Cloud - Healthcare
Digital Diagnostics,Justin White,National Account Executive
Tampa General Hospital,Jennifer Crabtree,Chief of Staff
Health Level Seven (HL7) International,Patricia Guerra,Marketing Director
Nutanix,Arman Kellejian,Healthcare Account Manager
CommonWell Health Alliance,Liz Buckle,Director of Product
Definitive Healthcare,Troy Hanninen,Solutions Consultant
"North Country Hospital & Health Center, Inc.",Kate Pierce,vCISO
PointClickCare,Sakshi Kanda,"Senior Manager, Corporate Strategy"
FloodGate Medical Inc,Danny Syring,Sr. Talent Director
VYNYL,Nicole Harris Roberts,Director Of Product Marketing
Johanson Group,Ryan McBride,Senior Account Executive
Intermedia,William Jones,"Sr. Manager, CCaaS Sales"
DirectTrust,Lesley Berkeyheiser,Sr. Assessor
Allscripts,Jill Helm,VP Solutions Management
Aidoc,Josh Streit,Director
Mid-America Healthcare Investors Network,Dennis Depenbusch,New Ventures Initiative
DirectTrust,Kelly Gwynn,COO
VerifiNow Inc,Frank Cua,Director of Sales
Cordea Consulting,Kendra Krauss,Strategic Account Director
Ceris,Melissa Storan,"VP, Marketing"
Moxe Health,Gregory Meltzer,"Director, Partnerships"
FIS,Ashley Dinkins,"Sr. Director, Enterprise Sales"
Medasource,Mike Mitsch,Director
WellStack,Rich Waller,President & CEO
DaVita,Halie Peddle,Director of Communications
DaVita,Morgan Alexander,Communications Supervisor
KLAS Research,Trey Dye,Research Director
TRIMEDX,Scott Trevino,"Senior Vice President, Cybersecurity"
Infor,Nicholas Matuch,Vice President
TRIMEDX,Todd Slade,Cyber Solutions Sales Lead
Definitive Healthcare,Tyler Moriarty,Sales Executive
Ping Identity,Lenore Tumey,Principal Sales Engineer
AppliedVR,Regan Rothery,Program Manager Strategic Partnerships
accel-EQ,Omar Fuentes,Co-Founder & CEO
"HCTec Partners, LLC",Brad Reece,Regional Vice President
CoverMyMeds,Jordan Hilsher,"Manager, EHR Sales & Business Development"
Aidoc,Jason Burke,AIC
Infor,Rahman Sayeed,"VP, Interoperability"
WellStack,Amy Miller,Vice President of Sales
CORL Technologies | Meditology Services,Evan Miles,Enterprise Account Representative
Skyflow,Scott Winn,Regional VP of NA Sales
HCTec,Jon Wolk,Regional Vice President
Cognizant,Patricia Birch,"SVP, Chief Strategy Officer, Health Sciences"
Skyflow,Danielle Womboldt,Sr. Marketing Programs Manager
Crossings Healthcare Solutions,Justin Monnig,General Manager
CORL Technologies,Steve Rice,Sr. Enterprise Account Executive
WellStack,Matt Asiaf,Chief Revenue Officer
Johanson Group,Mike Sherwin,Senior Account Executive
HCTec,"Chris Bell, MBA, CFCHE, CDH-E, FACHE",Vice President
Smarty,Emily Peck,Business Development Representative
Skyflow,Tim Reedy,Account Executive
CoverMyMeds,David Fox,Sr. Director Network Growth
Tegria,Berit Rhody,"Manager, Events + Engagement"
Zoom,Charla Schatz,ISV Strategic Business Development Manager
Tegria,Kristin O'Neill,"Sr. Director, External Relations"
Amazon Web Services,michael leonard,"Global Lead, Healthcare Industry, AWS Partner Organization"
Ping Identity,Jason Lowe,MAE - Healthcare
Molecular Testing Labs,Curt Vinyard,VP Business Development
country village,AMY MADRIGAL,Director of Nursing
HCTec,Peter Reynolds,Vice President
CWH Advisors,John Achoukian,Senior Consultant
Cognizant,Madhu Kiran Nori,Regional Partner
1upHealth,Scott Duarte,"Account Executive, Provider Organizations and Digital Health (North)"
Tailor Made Compounding,Josh Jones,CIO
Cedars-Sinai,Jeremy Roseman,Program Administrator
Cedars-Sinai,Howard Reese,Administrative Assistant
HITRUST Services Corp,Destiny Floyd,Customer Success Manager
Connection,Mike Marshall,Sales Director - Enterprise
Strata Decision Technology,Jonathan Johnson,"Senior Vice President, Data & Intelligence"
Florida Blue,PRABHA KANTIPUDI,SENIOR BUSINESS SYSTEM ANALYST
Surescripts,Lynne Nowak,Chief Data & Analytics Officer
Clearsense,Phillip Furukawa,Director
LifeLabs,Charles Brown,President and CEO
SONIFI Health,Meghan Seus,VP Product Marketing
Elevance Health,Hieu Nguyen,Senior Public Relations Director
TeleSpecialists,Nima Mowzoon,CEO
HPE,Harold Stonebraker,Senior Director Systems Engineering - US Enterprise
InGo,InGoTest InGoTest,InGoTest
Clearsense,Thomas Schaub,Senior Director - Business Development
Florida Blue,RAJA SEKHAR VARRE,Sr Business System Analyst
Clearsense,Blake Richardville,Chief Development Officer
Walgreens,Logan Smith,Marketing Manager
"DSS, Inc.",Maria Collado,Senior Solution Demonstration Specialist
TruBridge,Pat Murphy,General Manager
Juno Health,Tiffany Abraham,Senior Solution Demonstration Specialist
GE Healthcare,Lynn Eversgerd,"CMO, Command Center"
Juno Health,Russell Janney,Sales Executive
UKG,Larry Florio,VP of Sales
Cognizant,Sashi Padarthy,Strategy and Growth Leader
HPE Aruba Networking,David Logan,CTO - Americas
HPE,Chris Collins,VP / GM US Enterprise Sales
Clarify Health,Ryan Taylor,"Account Director, Provider"
Staples,Howie Aroesty,AVP Healthcare
Amplifire,Bryan Bushick,"GM, Healthcare Alliance & Chief Healthcare Innovation Officer"
Clarify Health,Scott Colquitt,"Account Director, Provider"
Embold Health,Evan Coglizer,Strategic Growth
North Kansas City Hospital,Kristen Guillaume,"VP, Chief Information Officer"
Edgility,"Dr. Balaji Ramadoss, PhD",CEO/President
Zebra,Xavier Villareal,VP of Sales
Silk,Dwight Wallace,Director of Solution Architects
HLTH,Jeannie Tribo,Customer Service
Empactful Capital/Care Continuity,Steven Mason,Managing Partner
NURA Medical,Georgia Powell,CEO & Co-founder
Techmate,Craig Lind,Regional IT Manager
Techmate,David Brock,CEO
Zebra,Rikki Jennings,Chief Nursing Informatics officer
Zebra,Katie Johnson,Sr. Manager Healthcare East
Pariveda,César Giralt,Vice President
Zebra Technologies,Rob Puric,VP/GM Tablets and POS Solutions
Providence,Toyin Falola,AVP Corporate Development and Clinical Strategy
Abridge,Michelle Marr,Director of Implementation
Tanner Health System,Steve West,Principal
Walgreens,Bob Jacobs,"Vice President, Health Systems"
Broadridge,Eric Peterson,Director - Business Development
Providence,Nicole Williams,Strategy and Business Development
Calibrate,Mark Tapping,Strategic Advisor
Centana Growth Partners,Sarah Kim,Partner
Blue Shield of California,Amanda Wardell,"Director, Corporate Communications"
"Medicomp Systems, Inc.",David Lareau,CEO
Wood County Hospital,Mark Gerschutz,IT Director
"Medicomp Systems, Inc.",James Aita,"Director, Strategy and BD"
Hearst Health,Rochelle Cross,VP of Marketing
Woodside Capital Partners,Tchad Robinson,Managing Director
"ECG Management Consultants, Inc.",Robin Settle,Principal
Eli Lilly,April Onufrak,Associate Director of Digital Solutions
HPE,Christopher Platt,Field Strategist and CT
Laerdal million lives fund,Rhiya Pau,Investor
HealthX Ventures,Mark Bakken,Managing Partner
Optum,Amanda Goodwin,"VP, Digital Product and Marketing Experience"
ClearDATA,Toby O'Connor,"Director, Demand Generation"
Tanner Health System,Kelly Meigs,"VP, Marketing Strategy and Planning"
B. Riley Securities,Eugene Izumo,Managing Director
test,Justin Test1,test
Oracle,Peter Cajina,Sales Consultant
CereCore,Taylor White,RVP
Niterra Ventures,Thomas Kluz,Managing Partner
SZA,Gregory Croeze,CFO/Board of Directors
Surgery Partners,Varun Gadhok,CISO
SZA,Virgil Oehlers,Manager IT
Ordr,Wes Wright,Chief Healthcare Officer
Healthwise,Steve Franklin,Product Marketing Manager
Phase2,Jamie Patterson,"Director, DemandGen"
Amazon Web Services,Elizabeth Boudreau,International Head of Provider Strategy and Healthcare Workforce Development
Oracle Health,Chris Gibson,GVP NAA Healthcare Sales
Geneia,Peter Longo,Chief Revenue Officer
NCQA,Kelly Huynh,Senior Account Executive
Ordr,Zach Baier,Marketing
Halcyon,Mason Spaunburg,Enterprise Account Executive - West
National Committee for Quality Assurance,Daniel Fisher,Account Executive
Verizon Business,Alvin Van Ravenswaay,Assoc Dir-Sols Architect
HPE,Jonathan Henley,Client Architect
Oracle Health,Stephanie Trunzo,SVP & GM
Oracle,Travis True,Director
Theralaugh™ Inc.,Michael Hatchard,CFO
Theralaugh™ Inc.,Timothy O'Malley,CEO
Shirley Ryan AbilityLab,Megan O'Brien,"Associate Director, Technology & Innovation Hub"
Catalyze Healthcare,Haley Schwartz,CEO
Doceree,Ryan Austin,Director - Business Development (Health Systems)
Theralaugh™ Inc.,Anna Hatchard,Chief Science Officer & Co-Founder
Doceree,Thomas O'Grady,Director BD
McCarthy Capital,Alan Davis,Investment Professional
Kaiser Permanente,Julie Smith,"VP, CFO, KP Medical Foundation"
Cymetryc,Henry Sabia,Sr. Technical Consultant
Clinical Architecture,Shawn Frazier,"VP, Payer Solutions"
Broadridge,Debbie Miglaw,VP Digital Solutions Business Development
Clinical Architecture,Marck DuBois,"EVP, Business Development"
Verizon Business,David Pope,VP-Enterprise Sales
DrFirst,Rick Friedman,"Senior Director, Enterprise Solutions"
Coeus Health,Skip Amiot,VP of Business Development
DrFirst,Jeff Kirkorian,"Vice President, Enterprise Solutions"
Pariveda Solutions Inc,Paula Parikh,Principal
Tevora,Marc Sabelli,Healthcare Account Director
NCQA,Bobby Minatra,Account Executive
Tausight,David Ting,Founder & CTO
Glenn McDonald,Glenn McDonald,National Account Manager
SONIFI Health,Mark Dyer,SVP Sales
American Hospital Association,Tina Balderas,Strategic Account Executive
Informatica,Jonathan Thornbury,"Chief Architect, Healthcare and Life Sciences"
E Ink Corporation,Brandon LaBelle,Communication Manager
Sopris Capital,Vickram Pradhan,Senior Vice President
EBSCO Health,Pete Darcy,Vice President
Sopris Capital,Taylor paul,Senior Vice President
Oracle Health,Tricia Geris,"Senior Director, CEO Communications & Corporate Events"
LifeLabs,Lawrence Mahan,SVP Commercial
Particle Health,Steve Swank,Cheif Revenue Officer
CareRev,Joe Anzalone,CSO
"Baptist Health System - Jacksonville, FL",Doug Burkott,"Sr. Director, IS Business Operations"
CDW Healthcare,Tom Stafford,Healthcare Strategist
"Epson America, Inc.",Tim Latta,"NA Sales Manager- Retail, Travel, Hospitality, Banking"
EBSCO Health,Julia Colpitts,"VP, Product"
"Epson America, Inc.",Ernie Diaz,Account Manager
Credo,Matt Bloodgood,Head of Commercial Operations
Hattrick IT,María Eugenia Gonzalez Panuncio,Innovation Manager
CDW Healthcare,Ben Sokolow,Healthcare Strategist
CDW Healthcare,Mike Larsen,Healthcare Strategist
CDW Healthcare,Siabhon Hightower,Sr Mgr Field Mktg
CDW Healthcare,Mike Grisamore,VP Healthcare Sales
Oracle,Nasim Afsar,Chief Health Officer
American Medical Association,Michael Penn,Director of Health Equity & Innovation
Alter Behavioral Health,Michael Castanon,CEO
Accenture,Ryan Killion,Senior Manager
CDW Healthcare,Jeff Kula,Director Healthcare
CDW Healthcare,Adam Oldenburg,Sales Director
CDW Healthcare,Todd Ketterman,Healthcare Strategist
CDW Healthcare,Liz Cramer,Healthcare Strategist
Intercept Telehealth,Israel Villanueva,Chief Medical Officer
Rad AI,Jeffrey Chang,Co-founder and CPO
DrFirst,Colin Banas,Chief Medical Officer
Clarify Health,Neechi Mosha,SVP of Growth
Liberty Fox Technologies,Leon Degtar,COO
Realyze Intelligence,Lilly Madrid,Marketing Manager
IBM Corporation,Peter Gleason,Partner - IBM Consulting - Healthcare
Get Well,Christian Bagge,"Vp, Payer Strategy"
Clearwater,Jaime Reynolds,"Vice President, Hospitals & Health Systems"
Clearwater,John Howlett,SVP And Chief Marketing Officer
UT MD Anderson Cancer Center,Pavitra Krishnamani,Faculty
Hyro,Daniela Levi,Head Of Product Marketing
Andor Health,Srini Surendranath,Chief Product & Strategy Officer
"Zones, Inc.",John Shaffer,"VP, Healthcare"
Clearwater,Will Pendleton,"Senior Account Executive, Digital Health"
Cecelia Health,Regina Reale,CFO
HPE,Jonathan True,Enterprise Account Executive
Guidehouse,Matthew Leshy,SVP
Trayt health,Ryan Imondi,Product Marketing
Guidehouse,Hannah Ellerbee,Director
First Trust Capital Partners,Rachel Kern,Vice President
Tidelift,Will Tyrrell,Business Development
Healthwise,Jessica Diederich,Director Product Marketing
iT1 Source,Artina Mitchell,Director Of Healthcare Strategy
iT1 Source,Aimee Howard,Sr. Healthcare Account Executive
Manatt Health,Bill Bernstein,Partner
Healthwise,Nate Smith,"Partner Solutions, Emerging Markets"
"Zivian Health, Inc.",Kim Dixon,Head of BD & Partnerships
"Manatt, Phelps & Phillips, LLP",Nick Bath,Partner
"Manatt, Phelps & Phillips, LLP",Seth Frazier,Partner
CareHealth.ai,Chaitanya Mamillapalli,"CEO, Founder"
"Manatt, Phelps & Phillips, LLP",Paul Carr-Rollitt,Partner
Hyro,R.J. Morgan,Regional Director - Healthcare
Cogability Inc,Richard Ulmer,VP Of Healthcare
FENEX Healthcare Consulting,Nanette Koch,Director - Business Development
Candor Health,Sury Agarwal,CEO
"Sublimation Health, LLC",Jeremy Marut,CEO
Radix Health,Max Mangum,CEO
Mavida Health,Sarah Oreck,CEO
Architect Health,Sohum Shah,Co-founder & CEO
NinePatch,Scot Braun,CFO
Primum,Corey Zankowski,CEO
MD Integrations,Leila Yari,Chief Revenue Officer
ClearBalance HealthCare,Kim Kelly,"VP, Business Operations and Strategy"
Lark Health,Colleen Malone,Strategic Account Executive
Hive Insights,Betsy Knorr,CEO
CDW,Doug McMillian,Healthcare Strategist
Manatt Health,Randi Seigel,Partner
NinePatch,Leigh Sterling-Gooden,President and CEO
Manatt Health,Jared Augenstein,Managing Director
TruBridge,Joshua Klostermeyer,"Senior Director, Revenue Cycle Solutions"
Fabric Health,Corey VanSpronsen,VP Sales
TruBridge,Chris Schoenrock,"Vice President, Sales"
TruBridge,Carter Nicholas,"Senior Director, Revenue Cycle Solutions"
TruBridge,David Dye,COO
TruBridge,Brandon Wright,Head of Sales
TruBridge,Jamie Hodge,Account Manager
TruBridge,Tracey Schroeder,Chief Marketing Officer
TruBridge,Tammi Leppla,National Sales Manager
TruBridge,Wes Cronkite,Chief Technology & Innovation Officer
HPE Aruba Networking,Raven Lopez,"Sr. Manager, Business Development & Strategic Partners"
TruBridge,Doug Fridley,Sales Director
Fabric Health,Jordan Dardenne,"Sr. Director, Ambulatory Care"
Taksa Technology Solutions,Karan Arora,CEO
OM Partners,Becky Gregg,Partner
Amino Health,John Asalone,Chief Operating Officer
Syntho,Uliana Krainska,Synthetic Data Consultant
Coopersmith Law + Strategy,Jeffrey Coopersmith,Principal
Nemours,Bernie Rice,SVP & CIO
myLaurel,Jon Branche,Vice President
Mayo,Daniel Wu,Principal Product Manager
Mayo,Annie Ye,Principal Digital Product Manager
Northwell Health,Erin Zuck,Senior Associate
Boomerang VC,Josh Nickols,Venture Partner
Nemours Children's Hospital,Eric Jackson,Chief Innovation Officer
Mayo,Mark Olschesky,"Senior Director, Product Management"
TruBridge,Chris Fowler,CEO
FeelBetter,Liat Primor,Co-founder & CEO
XPC,David Nichols MD,Partner
Florence,Matt Hodges,"Vp, Marketing"
IBM Corporation,Chad Harmon,Lead Client Partner
Andreessen Horowitz,Jay Rughani,Investment Partner
Florence,Aiden Feng,Coo
Datycs,Srini Rao,CEO
Fabric Health,Jeremy Greene,Sr Sales Director
Longitude Capital,Michael Wert,Managing Director
Munich Re Ventures,Halyna Vasylevska,Sr.Manager
Garner Health,Jon Olien,"Vice President, Provider Markets"
New York Presbyterian Hospital,Patricia Sylvain,Senior Director - IT Customer Experience
Amazon Web Services,Naqi Khan,Physician Executive
Oracle Health,Sarah Matt,"VP, Healthcare Markets"
A1 Health Ventures,Connor McDermott,Vice President
Hyro,Elaine Dorr,Regional Director - Healthcare
American Academy of Neurology,Andy H Halverson,"Associate Director, Industry Sales"
